Task,Train Length,Test Length,Token Accuracy,Exact Match Accuracy
addition,16,16,13.338557049002471,0.0
addition,16,32,11.684607599595179,0.0
addition,16,64,10.873233331785322,0.0
addition,16,128,10.526029229895697,0.0
addition,16,256,10.210333095602763,0.0
addition,16,512,10.036188413854992,0.0
addition,16,1024,10.05553332487483,0.0
