Task,Train Length,Test Length,Token Accuracy,Exact Match Accuracy
addition,16,16,99.65644023868363,94.6
addition,16,32,10.789094366240377,0.0
addition,16,64,11.238564064459203,0.0
addition,16,128,10.369690511562064,0.0
addition,16,256,10.143300869470329,0.0
addition,16,512,10.062915166944665,0.0
addition,16,1024,10.080908833604981,0.0
