Task,Train Length,Test Length,Token Accuracy,Exact Match Accuracy
addition,16,16,13.284310770899886,0.0
addition,16,32,11.902352255650626,0.0
addition,16,64,11.23082400656357,0.0
addition,16,128,10.606920905053396,0.0
addition,16,256,10.329977824804262,0.0
addition,16,512,10.099981466850048,0.0
addition,16,1024,10.07895687139497,0.0
