Task,Train Length,Test Length,Token Accuracy,Exact Match Accuracy
associative_recall,16,16,2.3,2.3
associative_recall,16,32,0.9,0.9
associative_recall,16,64,0.5,0.5
associative_recall,16,128,0.3,0.3
