Task,Train Length,Test Length,Token Accuracy,Exact Match Accuracy
addition,16,16,15.158821047555904,0.0
addition,16,32,13.009476492777624,0.0
addition,16,64,11.608538831870462,0.0
addition,16,128,10.83326203458119,0.0
addition,16,256,10.48586672278667,0.0
addition,16,512,10.210985280777221,0.0
addition,16,1024,10.118972096700208,0.0
