Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
copy,128,256,sinusoidal,42,0,3.4195220470428467,0.547976104243717,184.7337646484375,0.03187604621052742
copy,128,256,sinusoidal,42,1,4.147195339202881,0.6645852590654813,193.90542602539062,0.030212627723813057
copy,128,256,sinusoidal,42,0,3.3564164638519287,0.5378634770527645,179.13636779785156,0.03410956636071205
copy,128,256,sinusoidal,42,1,4.759220123291016,0.7626618183832508,208.7203826904297,0.029809491708874702
copy,128,256,sinusoidal,42,0,3.3731887340545654,0.5405512220529501,180.89508056640625,0.03605770692229271
copy,128,256,sinusoidal,42,1,4.434224605560303,0.710581505622362,206.8939208984375,0.027797646820545197
copy,128,256,sinusoidal,42,0,3.379009485244751,0.5414839935096302,179.3497772216797,0.034241367131471634
copy,128,256,sinusoidal,42,1,4.700061321258545,0.7531816602139203,207.83712768554688,0.029720202088356018
copy,128,256,sinusoidal,42,0,3.440196990966797,0.55128925007844,183.77220153808594,0.03340812399983406
copy,128,256,sinusoidal,42,1,4.096378326416016,0.6564418670027423,196.12075805664062,0.0287910308688879
