Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
addition,16,32,learned,42,0,0.802203893661499,0.19217284880268304,23.987545013427734,0.2161378115415573
addition,16,32,learned,42,1,1.4462815523147583,0.3464655909490919,18.738855361938477,0.34701627492904663
addition,16,32,learned,42,0,0.8147110939025879,0.19516902511130846,24.074459075927734,0.21730494499206543
addition,16,32,learned,42,1,1.5272139310836792,0.3658534372451411,18.88009262084961,0.3415188193321228
addition,16,32,learned,42,0,0.8045288324356079,0.19272980210475818,23.846284866333008,0.2206784188747406
addition,16,32,learned,42,1,1.594929814338684,0.38207519121208866,19.13824462890625,0.337717741727829
addition,16,32,learned,42,0,0.8069277405738831,0.1933044752203973,23.918607711791992,0.21957100927829742
addition,16,32,learned,42,1,1.4565163850784302,0.3489174077312775,18.959619522094727,0.3515535891056061
addition,16,32,learned,42,0,0.7991966605186462,0.19145244771183553,24.08031463623047,0.2174922376871109
addition,16,32,learned,42,1,1.5640778541564941,0.3746844154676615,19.324169158935547,0.33564916253089905
