Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
copy,128,1024,rope,42,0,7.600202560424805,0.9967338704453684,677.1092529296875,0.0102973822504282
copy,128,1024,rope,42,1,2.144254446029663,0.2812097462164714,1091.6343994140625,0.00036965293111279607
copy,128,1024,rope,42,0,7.599800109863281,0.996681090785529,676.688720703125,0.010346607305109501
copy,128,1024,rope,42,1,2.1333117485046387,0.27977465851051675,1098.8319091796875,0.00035543457488529384
copy,128,1024,rope,42,0,7.599530220031738,0.9966456958951627,676.701904296875,0.0103327427059412
copy,128,1024,rope,42,1,2.1318488121032715,0.27958280069489183,1092.3648681640625,0.00034302991116419435
copy,128,1024,rope,42,0,7.600044250488281,0.9967131087782278,676.6209716796875,0.010322206653654575
copy,128,1024,rope,42,1,2.129925012588501,0.2793305026645337,1095.8370361328125,0.00035146865411661565
copy,128,1024,rope,42,0,7.599836349487305,0.9966858434563202,676.8606567382812,0.010309985838830471
copy,128,1024,rope,42,1,2.1249518394470215,0.2786782924011503,1094.306884765625,0.00034004662302322686
