Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
copy,128,128,rope,42,0,5.521408557891846,0.9950140299790291,85.15087127685547,0.08094903081655502
copy,128,128,rope,42,1,1.220004677772522,0.2198572625618556,105.06066131591797,0.05973747745156288
copy,128,128,rope,42,0,5.519181728363037,0.9946127326288503,84.93412780761719,0.08174051344394684
copy,128,128,rope,42,1,1.1533117294311523,0.20783851433764033,105.71883392333984,0.05286719277501106
copy,128,128,rope,42,0,5.522058010101318,0.9951310678785886,85.15392303466797,0.08108390122652054
copy,128,128,rope,42,1,1.2036209106445312,0.21690474093891587,104.65018463134766,0.05840536206960678
copy,128,128,rope,42,0,5.522017478942871,0.99512376375123,85.14399719238281,0.08037347346544266
copy,128,128,rope,42,1,1.1823077201843262,0.21306388705006393,103.66061401367188,0.06243402138352394
copy,128,128,rope,42,0,5.521555423736572,0.9950404966993406,85.04515838623047,0.08057544380426407
copy,128,128,rope,42,1,1.1836042404174805,0.21329753319463265,105.5387954711914,0.05601669102907181
