Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
copy,128,128,sinusoidal,42,0,2.4702067375183105,0.44515640076413804,82.49884033203125,0.08906911313533783
copy,128,128,sinusoidal,42,1,4.765899658203125,0.8588636351871388,92.22358703613281,0.06733257323503494
copy,128,128,sinusoidal,42,0,2.50632643699646,0.4516655383080381,83.5993881225586,0.08531241118907928
copy,128,128,sinusoidal,42,1,4.750419616699219,0.8560739741215709,93.20457458496094,0.06597499549388885
copy,128,128,sinusoidal,42,0,2.5131187438964844,0.4528895811569933,83.4830551147461,0.08254188299179077
copy,128,128,sinusoidal,42,1,4.714271068572998,0.8495596377576097,90.48339080810547,0.06585028022527695
copy,128,128,sinusoidal,42,0,2.60343861579895,0.46916614152860536,85.92547607421875,0.08497808873653412
copy,128,128,sinusoidal,42,1,4.471697807312012,0.8058454666866309,87.75225830078125,0.06534992158412933
copy,128,128,sinusoidal,42,0,2.55646014213562,0.4607001423343959,86.36116027832031,0.08533497154712677
copy,128,128,sinusoidal,42,1,4.432148456573486,0.7987182710718186,84.99307250976562,0.06043603643774986
