Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
addition,16,1024,learned,42,0,4.208866119384766,0.551974685412368,768.48828125,0.010204999707639217
addition,16,1024,learned,42,1,4.845878601074219,0.635516132018345,678.7509155273438,0.013045008294284344
addition,16,1024,learned,42,0,4.184305667877197,0.5487536878538956,770.9376831054688,0.010365565307438374
addition,16,1024,learned,42,1,4.948887825012207,0.6490253486018496,687.2036743164062,0.012918085791170597
addition,16,1024,learned,42,0,4.150790214538574,0.5443582803288533,773.1781616210938,0.010348019190132618
addition,16,1024,learned,42,1,4.899385452270508,0.6425333253713127,686.6109008789062,0.012815904803574085
addition,16,1024,learned,42,0,4.2323479652404785,0.5550542284796594,767.5308227539062,0.010196530260145664
addition,16,1024,learned,42,1,4.81850528717041,0.6319262396572742,688.054443359375,0.012954922392964363
addition,16,1024,learned,42,0,4.175660133361816,0.5476198631944772,773.5353393554688,0.010482744313776493
addition,16,1024,learned,42,1,4.844124794006348,0.6352861277661062,679.7654418945312,0.012952909804880619
