Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
copy,128,256,rope,42,0,6.2121686935424805,0.9954958478878717,169.52560424804688,0.04091992974281311
copy,128,256,rope,42,1,0.9870598912239075,0.15817568256822723,158.0670928955078,0.012979146093130112
copy,128,256,rope,42,0,6.213155269622803,0.995653946040069,169.65394592285156,0.04099071025848389
copy,128,256,rope,42,1,1.0376132726669312,0.16627682788572884,157.24105834960938,0.012621840462088585
copy,128,256,rope,42,0,6.213196277618408,0.9956605175437369,169.71815490722656,0.040928807109594345
copy,128,256,rope,42,1,0.9921974539756775,0.15899897353792786,157.72389221191406,0.012356347404420376
copy,128,256,rope,42,0,6.213820457458496,0.9957605419425896,169.57485961914062,0.04097077250480652
copy,128,256,rope,42,1,0.9857507348060608,0.15796589113427006,158.2882537841797,0.012306642718613148
copy,128,256,rope,42,0,6.213250637054443,0.9956692286067386,169.49221801757812,0.04110582545399666
copy,128,256,rope,42,1,0.9571179747581482,0.15337751062700916,158.93675231933594,0.012438408099114895
