Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
reverse,128,128,learned,42,0,0.4183952212333679,0.08623095868643152,62.653785705566406,0.08175720274448395
reverse,128,128,learned,42,1,4.816913604736328,0.9927624814205259,42.71482849121094,0.15632635354995728
reverse,128,128,learned,42,0,0.44727635383605957,0.09218333965516863,62.69771957397461,0.08185584843158722
reverse,128,128,learned,42,1,4.816739082336426,0.9927265124775455,42.682228088378906,0.15715014934539795
reverse,128,128,learned,42,0,0.40040162205696106,0.08252249064363924,62.756168365478516,0.08078489452600479
reverse,128,128,learned,42,1,4.817587375640869,0.9929013451266225,42.690467834472656,0.15656235814094543
reverse,128,128,learned,42,0,0.41197845339775085,0.0849084673814343,62.67675018310547,0.07959149032831192
reverse,128,128,learned,42,1,4.817994117736816,0.9929851743844431,42.67174530029297,0.15726858377456665
reverse,128,128,learned,42,0,0.37956589460372925,0.0782282619764833,62.75017166137695,0.08296409249305725
reverse,128,128,learned,42,1,4.81763219833374,0.992910583051869,42.65056610107422,0.15793195366859436
