Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
reverse,128,256,learned,42,0,2.574309825897217,0.4642430024417057,82.825927734375,0.06700369715690613
reverse,128,256,learned,42,1,5.515920639038086,0.9947239189846661,86.05149841308594,0.07935573160648346
reverse,128,256,learned,42,0,2.5915796756744385,0.46735739327051756,82.72798156738281,0.06593398004770279
reverse,128,256,learned,42,1,5.51966667175293,0.9953994668372552,85.4566650390625,0.08006151020526886
reverse,128,256,learned,42,0,2.613558530807495,0.4713209914336273,82.65806579589844,0.06466902792453766
reverse,128,256,learned,42,1,5.509709358215332,0.9936037959795966,86.26118469238281,0.07825051993131638
reverse,128,256,learned,42,0,2.5985255241394043,0.46860998591241415,82.74104309082031,0.0653606727719307
reverse,128,256,learned,42,1,5.51296854019165,0.9941915466889203,85.94834899902344,0.07939993590116501
reverse,128,256,learned,42,0,2.597667694091797,0.46845528751796306,82.36067199707031,0.06631702184677124
reverse,128,256,learned,42,1,5.514955997467041,0.9945499585333184,85.97943115234375,0.07890397310256958
