Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
addition,16,16,learned,42,0,0.26464349031448364,0.07568795023668953,11.804946899414062,0.39641544222831726
addition,16,16,learned,42,1,0.8662834763526917,0.24775678619993066,9.119272232055664,0.6041234135627747
addition,16,16,learned,42,0,0.2567305266857147,0.07342484526990087,11.822564125061035,0.39608192443847656
addition,16,16,learned,42,1,0.8366719484329224,0.2392878990606305,9.419977188110352,0.5881516337394714
addition,16,16,learned,42,0,0.25966987013816833,0.07426549651997877,11.778406143188477,0.4000414311885834
addition,16,16,learned,42,1,0.7972247004508972,0.22800599925387574,9.398772239685059,0.5870518088340759
addition,16,16,learned,42,0,0.24184297025203705,0.06916700907994176,11.766071319580078,0.40070751309394836
addition,16,16,learned,42,1,0.7979574799537659,0.22821557394804895,9.166145324707031,0.5992960929870605
addition,16,16,learned,42,0,0.2522452175617218,0.07214204835179218,11.765189170837402,0.40275266766548157
addition,16,16,learned,42,1,0.8987900018692017,0.2570536416893197,9.283376693725586,0.5861998200416565
