Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
addition,16,1024,sinusoidal,42,0,4.349911689758301,0.5704722052021209,725.9946899414062,0.00887281447649002
addition,16,1024,sinusoidal,42,1,4.612651348114014,0.6049293811142515,708.0018310546875,0.014345275238156319
addition,16,1024,sinusoidal,42,0,4.3385186195373535,0.5689780530545568,728.1897583007812,0.008973168209195137
addition,16,1024,sinusoidal,42,1,4.626405239105225,0.6067331447498076,708.6025390625,0.014256129041314125
addition,16,1024,sinusoidal,42,0,4.353659152984619,0.5709636688830193,725.69873046875,0.008818389847874641
addition,16,1024,sinusoidal,42,1,4.615749835968018,0.6053357344669018,705.03662109375,0.014465074986219406
addition,16,1024,sinusoidal,42,0,4.334649562835693,0.568470642912451,727.2896728515625,0.008882994763553143
addition,16,1024,sinusoidal,42,1,4.598965167999268,0.6031344974688582,707.1105346679688,0.014329668134450912
addition,16,1024,sinusoidal,42,0,4.3545050621032715,0.5710746062249094,726.9158325195312,0.00882316567003727
addition,16,1024,sinusoidal,42,1,4.656070709228516,0.6106236435384236,704.463623046875,0.014628355391323566
