Using device: cuda
Epoch 1/50 | Loss: 0.8439 | Train Acc: 56.50%
Epoch 2/50 | Loss: 0.7730 | Train Acc: 53.00%
Epoch 3/50 | Loss: 0.7182 | Train Acc: 50.50%
Epoch 4/50 | Loss: 0.7112 | Train Acc: 48.00%
Epoch 5/50 | Loss: 0.6835 | Train Acc: 57.50%
Epoch 6/50 | Loss: 0.6965 | Train Acc: 56.00%
Epoch 7/50 | Loss: 0.6900 | Train Acc: 57.00%
Epoch 8/50 | Loss: 0.6710 | Train Acc: 59.00%
Epoch 9/50 | Loss: 0.6548 | Train Acc: 64.00%
Epoch 10/50 | Loss: 0.6587 | Train Acc: 55.50%
Epoch 11/50 | Loss: 0.6367 | Train Acc: 63.50%
Epoch 12/50 | Loss: 0.6191 | Train Acc: 69.50%
Epoch 13/50 | Loss: 0.5937 | Train Acc: 65.00%
Epoch 14/50 | Loss: 0.4914 | Train Acc: 76.50%
Epoch 15/50 | Loss: 0.4361 | Train Acc: 78.50%
Epoch 16/50 | Loss: 0.3603 | Train Acc: 84.50%
Epoch 17/50 | Loss: 0.3566 | Train Acc: 85.50%
Epoch 18/50 | Loss: 0.2600 | Train Acc: 88.00%
Epoch 19/50 | Loss: 0.2974 | Train Acc: 87.50%
Epoch 20/50 | Loss: 0.3081 | Train Acc: 88.50%
Epoch 21/50 | Loss: 0.2987 | Train Acc: 90.00%
Epoch 22/50 | Loss: 0.1448 | Train Acc: 93.50%
Epoch 23/50 | Loss: 0.0961 | Train Acc: 94.50%
Epoch 24/50 | Loss: 0.0831 | Train Acc: 97.00%
Epoch 25/50 | Loss: 0.1420 | Train Acc: 94.50%
Epoch 26/50 | Loss: 0.1682 | Train Acc: 94.00%
Epoch 27/50 | Loss: 0.1598 | Train Acc: 92.50%
Epoch 28/50 | Loss: 0.0980 | Train Acc: 96.50%
Epoch 29/50 | Loss: 0.0756 | Train Acc: 97.50%
Epoch 30/50 | Loss: 0.1015 | Train Acc: 96.00%
Epoch 31/50 | Loss: 0.1109 | Train Acc: 94.50%
Epoch 32/50 | Loss: 0.2778 | Train Acc: 91.00%
Epoch 33/50 | Loss: 0.2053 | Train Acc: 91.00%
Epoch 34/50 | Loss: 0.1749 | Train Acc: 93.00%
Epoch 35/50 | Loss: 0.1589 | Train Acc: 96.50%
Epoch 36/50 | Loss: 0.0504 | Train Acc: 99.00%
Epoch 37/50 | Loss: 0.0520 | Train Acc: 98.00%
Epoch 38/50 | Loss: 0.0754 | Train Acc: 98.00%
Epoch 39/50 | Loss: 0.0395 | Train Acc: 98.50%
Epoch 40/50 | Loss: 0.0278 | Train Acc: 100.00%
Epoch 41/50 | Loss: 0.0365 | Train Acc: 99.00%
Epoch 42/50 | Loss: 0.0118 | Train Acc: 99.50%
Epoch 43/50 | Loss: 0.0076 | Train Acc: 100.00%
Epoch 44/50 | Loss: 0.0165 | Train Acc: 99.50%
Epoch 45/50 | Loss: 0.0567 | Train Acc: 98.00%
Epoch 46/50 | Loss: 0.1062 | Train Acc: 96.00%
Epoch 47/50 | Loss: 0.0434 | Train Acc: 99.00%
Epoch 48/50 | Loss: 0.0493 | Train Acc: 98.50%
Epoch 49/50 | Loss: 0.0726 | Train Acc: 98.00%
Epoch 50/50 | Loss: 0.0470 | Train Acc: 97.50%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_sinusoidal_seed123.pt
