Using device: cuda
Epoch 1/50 | Loss: 0.7990 | Train Acc: 53.00%
Epoch 2/50 | Loss: 0.6882 | Train Acc: 58.00%
Epoch 3/50 | Loss: 0.6896 | Train Acc: 57.00%
Epoch 4/50 | Loss: 0.6953 | Train Acc: 54.00%
Epoch 5/50 | Loss: 0.7178 | Train Acc: 57.00%
Epoch 6/50 | Loss: 0.6752 | Train Acc: 61.50%
Epoch 7/50 | Loss: 0.6814 | Train Acc: 58.50%
Epoch 8/50 | Loss: 0.6794 | Train Acc: 60.00%
Epoch 9/50 | Loss: 0.6635 | Train Acc: 62.50%
Epoch 10/50 | Loss: 0.6625 | Train Acc: 62.50%
Epoch 11/50 | Loss: 0.6578 | Train Acc: 60.50%
Epoch 12/50 | Loss: 0.6482 | Train Acc: 66.00%
Epoch 13/50 | Loss: 0.6401 | Train Acc: 64.00%
Epoch 14/50 | Loss: 0.6320 | Train Acc: 59.50%
Epoch 15/50 | Loss: 0.6129 | Train Acc: 66.50%
Epoch 16/50 | Loss: 0.6397 | Train Acc: 61.00%
Epoch 17/50 | Loss: 0.6280 | Train Acc: 64.00%
Epoch 18/50 | Loss: 0.6196 | Train Acc: 62.00%
Epoch 19/50 | Loss: 0.5832 | Train Acc: 66.50%
Epoch 20/50 | Loss: 0.5619 | Train Acc: 69.50%
Epoch 21/50 | Loss: 0.4943 | Train Acc: 73.00%
Epoch 22/50 | Loss: 0.5466 | Train Acc: 71.50%
Epoch 23/50 | Loss: 0.6298 | Train Acc: 61.50%
Epoch 24/50 | Loss: 0.5272 | Train Acc: 74.00%
Epoch 25/50 | Loss: 0.5160 | Train Acc: 72.50%
Epoch 26/50 | Loss: 0.6019 | Train Acc: 64.50%
Epoch 27/50 | Loss: 0.5217 | Train Acc: 70.50%
Epoch 28/50 | Loss: 0.4587 | Train Acc: 73.00%
Epoch 29/50 | Loss: 0.4513 | Train Acc: 76.00%
Epoch 30/50 | Loss: 0.4726 | Train Acc: 75.50%
Epoch 31/50 | Loss: 0.4014 | Train Acc: 80.50%
Epoch 32/50 | Loss: 0.3884 | Train Acc: 81.00%
Epoch 33/50 | Loss: 0.3729 | Train Acc: 80.50%
Epoch 34/50 | Loss: 0.4266 | Train Acc: 75.50%
Epoch 35/50 | Loss: 0.4072 | Train Acc: 78.00%
Epoch 36/50 | Loss: 0.3919 | Train Acc: 82.50%
Epoch 37/50 | Loss: 0.3750 | Train Acc: 82.00%
Epoch 38/50 | Loss: 0.4953 | Train Acc: 73.00%
Epoch 39/50 | Loss: 0.4475 | Train Acc: 78.50%
Epoch 40/50 | Loss: 0.3931 | Train Acc: 77.00%
Epoch 41/50 | Loss: 0.3899 | Train Acc: 79.50%
Epoch 42/50 | Loss: 0.3906 | Train Acc: 82.00%
Epoch 43/50 | Loss: 0.3211 | Train Acc: 83.50%
Epoch 44/50 | Loss: 0.3499 | Train Acc: 84.00%
Epoch 45/50 | Loss: 0.2790 | Train Acc: 85.00%
Epoch 46/50 | Loss: 0.3419 | Train Acc: 82.50%
Epoch 47/50 | Loss: 0.2947 | Train Acc: 85.50%
Epoch 48/50 | Loss: 0.4345 | Train Acc: 76.50%
Epoch 49/50 | Loss: 0.3339 | Train Acc: 84.50%
Epoch 50/50 | Loss: 0.2903 | Train Acc: 84.50%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_none_seed2024.pt
