Using device: cuda
Epoch 1/50 | Loss: 0.7989 | Train Acc: 50.00%
Epoch 2/50 | Loss: 0.7241 | Train Acc: 54.00%
Epoch 3/50 | Loss: 0.7631 | Train Acc: 52.50%
Epoch 4/50 | Loss: 0.7129 | Train Acc: 52.50%
Epoch 5/50 | Loss: 0.7024 | Train Acc: 51.50%
Epoch 6/50 | Loss: 0.7197 | Train Acc: 51.00%
Epoch 7/50 | Loss: 0.6974 | Train Acc: 51.00%
Epoch 8/50 | Loss: 0.6832 | Train Acc: 52.50%
Epoch 9/50 | Loss: 0.6979 | Train Acc: 54.50%
Epoch 10/50 | Loss: 0.7127 | Train Acc: 54.00%
Epoch 11/50 | Loss: 0.6729 | Train Acc: 57.00%
Epoch 12/50 | Loss: 0.6401 | Train Acc: 65.00%
Epoch 13/50 | Loss: 0.6174 | Train Acc: 63.50%
Epoch 14/50 | Loss: 0.5665 | Train Acc: 68.00%
Epoch 15/50 | Loss: 0.5543 | Train Acc: 71.00%
Epoch 16/50 | Loss: 0.5505 | Train Acc: 69.00%
Epoch 17/50 | Loss: 0.5245 | Train Acc: 73.00%
Epoch 18/50 | Loss: 0.4751 | Train Acc: 76.00%
Epoch 19/50 | Loss: 0.4167 | Train Acc: 79.50%
Epoch 20/50 | Loss: 0.4182 | Train Acc: 80.00%
Epoch 21/50 | Loss: 0.3705 | Train Acc: 81.00%
Epoch 22/50 | Loss: 0.3493 | Train Acc: 83.50%
Epoch 23/50 | Loss: 0.2997 | Train Acc: 84.50%
Epoch 24/50 | Loss: 0.1816 | Train Acc: 92.50%
Epoch 25/50 | Loss: 0.2784 | Train Acc: 85.50%
Epoch 26/50 | Loss: 0.1702 | Train Acc: 94.50%
Epoch 27/50 | Loss: 0.2073 | Train Acc: 90.50%
Epoch 28/50 | Loss: 0.1295 | Train Acc: 96.50%
Epoch 29/50 | Loss: 0.2070 | Train Acc: 91.50%
Epoch 30/50 | Loss: 0.1568 | Train Acc: 94.50%
Epoch 31/50 | Loss: 0.1531 | Train Acc: 95.00%
Epoch 32/50 | Loss: 0.0963 | Train Acc: 97.50%
Epoch 33/50 | Loss: 0.0751 | Train Acc: 98.00%
Epoch 34/50 | Loss: 0.0617 | Train Acc: 97.00%
Epoch 35/50 | Loss: 0.0430 | Train Acc: 98.00%
Epoch 36/50 | Loss: 0.0431 | Train Acc: 98.00%
Epoch 37/50 | Loss: 0.0616 | Train Acc: 98.00%
Epoch 38/50 | Loss: 0.0504 | Train Acc: 99.00%
Epoch 39/50 | Loss: 0.0362 | Train Acc: 99.00%
Epoch 40/50 | Loss: 0.0469 | Train Acc: 98.50%
Epoch 41/50 | Loss: 0.0554 | Train Acc: 97.50%
Epoch 42/50 | Loss: 0.0312 | Train Acc: 99.00%
Epoch 43/50 | Loss: 0.0239 | Train Acc: 99.50%
Epoch 44/50 | Loss: 0.1427 | Train Acc: 95.50%
Epoch 45/50 | Loss: 0.2568 | Train Acc: 93.50%
Epoch 46/50 | Loss: 0.2245 | Train Acc: 91.00%
Epoch 47/50 | Loss: 0.1162 | Train Acc: 96.00%
Epoch 48/50 | Loss: 0.0506 | Train Acc: 99.00%
Epoch 49/50 | Loss: 0.0314 | Train Acc: 99.50%
Epoch 50/50 | Loss: 0.0162 | Train Acc: 99.50%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_rope_seed42.pt
