Using device: cuda
Epoch 1/50 | Loss: 0.7991 | Train Acc: 50.00%
Epoch 2/50 | Loss: 0.7224 | Train Acc: 54.00%
Epoch 3/50 | Loss: 0.7633 | Train Acc: 54.00%
Epoch 4/50 | Loss: 0.7152 | Train Acc: 52.00%
Epoch 5/50 | Loss: 0.7028 | Train Acc: 50.00%
Epoch 6/50 | Loss: 0.7189 | Train Acc: 50.50%
Epoch 7/50 | Loss: 0.6975 | Train Acc: 53.00%
Epoch 8/50 | Loss: 0.6838 | Train Acc: 57.00%
Epoch 9/50 | Loss: 0.6988 | Train Acc: 54.50%
Epoch 10/50 | Loss: 0.7185 | Train Acc: 52.00%
Epoch 11/50 | Loss: 0.6861 | Train Acc: 54.00%
Epoch 12/50 | Loss: 0.6572 | Train Acc: 57.50%
Epoch 13/50 | Loss: 0.6388 | Train Acc: 60.00%
Epoch 14/50 | Loss: 0.6134 | Train Acc: 64.50%
Epoch 15/50 | Loss: 0.6348 | Train Acc: 65.50%
Epoch 16/50 | Loss: 0.6898 | Train Acc: 57.50%
Epoch 17/50 | Loss: 0.7024 | Train Acc: 49.00%
Epoch 18/50 | Loss: 0.6785 | Train Acc: 61.50%
Epoch 19/50 | Loss: 0.6677 | Train Acc: 60.50%
Epoch 20/50 | Loss: 0.6487 | Train Acc: 65.00%
Epoch 21/50 | Loss: 0.6824 | Train Acc: 54.50%
Epoch 22/50 | Loss: 0.6346 | Train Acc: 63.00%
Epoch 23/50 | Loss: 0.5781 | Train Acc: 67.00%
Epoch 24/50 | Loss: 0.5469 | Train Acc: 68.50%
Epoch 25/50 | Loss: 0.5564 | Train Acc: 71.00%
Epoch 26/50 | Loss: 0.5005 | Train Acc: 74.50%
Epoch 27/50 | Loss: 0.7193 | Train Acc: 63.50%
Epoch 28/50 | Loss: 0.6258 | Train Acc: 62.50%
Epoch 29/50 | Loss: 0.5608 | Train Acc: 69.00%
Epoch 30/50 | Loss: 0.4969 | Train Acc: 73.50%
Epoch 31/50 | Loss: 0.4648 | Train Acc: 75.50%
Epoch 32/50 | Loss: 0.4494 | Train Acc: 77.50%
Epoch 33/50 | Loss: 0.4597 | Train Acc: 76.00%
Epoch 34/50 | Loss: 0.4213 | Train Acc: 80.00%
Epoch 35/50 | Loss: 0.3990 | Train Acc: 79.00%
Epoch 36/50 | Loss: 0.4797 | Train Acc: 79.50%
Epoch 37/50 | Loss: 0.5124 | Train Acc: 76.00%
Epoch 38/50 | Loss: 0.4468 | Train Acc: 79.00%
Epoch 39/50 | Loss: 0.3204 | Train Acc: 89.50%
Epoch 40/50 | Loss: 0.2473 | Train Acc: 89.00%
Epoch 41/50 | Loss: 0.2939 | Train Acc: 85.50%
Epoch 42/50 | Loss: 0.2875 | Train Acc: 89.00%
Epoch 43/50 | Loss: 0.3074 | Train Acc: 87.00%
Epoch 44/50 | Loss: 0.3401 | Train Acc: 85.50%
Epoch 45/50 | Loss: 0.3182 | Train Acc: 89.00%
Epoch 46/50 | Loss: 0.2682 | Train Acc: 89.50%
Epoch 47/50 | Loss: 0.2069 | Train Acc: 90.00%
Epoch 48/50 | Loss: 0.2556 | Train Acc: 89.00%
Epoch 49/50 | Loss: 0.4180 | Train Acc: 83.00%
Epoch 50/50 | Loss: 0.3113 | Train Acc: 83.00%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_none_seed42.pt
