Using device: cuda
Epoch 1/50 | Loss: 0.8002 | Train Acc: 53.00%
Epoch 2/50 | Loss: 0.7760 | Train Acc: 49.50%
Epoch 3/50 | Loss: 0.7140 | Train Acc: 49.00%
Epoch 4/50 | Loss: 0.7009 | Train Acc: 50.00%
Epoch 5/50 | Loss: 0.6908 | Train Acc: 51.00%
Epoch 6/50 | Loss: 0.7002 | Train Acc: 49.00%
Epoch 7/50 | Loss: 0.6914 | Train Acc: 55.50%
Epoch 8/50 | Loss: 0.6906 | Train Acc: 52.00%
Epoch 9/50 | Loss: 0.6782 | Train Acc: 59.50%
Epoch 10/50 | Loss: 0.6673 | Train Acc: 59.50%
Epoch 11/50 | Loss: 0.6643 | Train Acc: 59.50%
Epoch 12/50 | Loss: 0.6374 | Train Acc: 64.00%
Epoch 13/50 | Loss: 0.6195 | Train Acc: 66.50%
Epoch 14/50 | Loss: 0.6307 | Train Acc: 66.50%
Epoch 15/50 | Loss: 0.5852 | Train Acc: 64.50%
Epoch 16/50 | Loss: 0.5944 | Train Acc: 68.00%
Epoch 17/50 | Loss: 0.5542 | Train Acc: 71.00%
Epoch 18/50 | Loss: 0.4334 | Train Acc: 80.50%
Epoch 19/50 | Loss: 0.4499 | Train Acc: 75.00%
Epoch 20/50 | Loss: 0.4778 | Train Acc: 77.50%
Epoch 21/50 | Loss: 0.3780 | Train Acc: 84.00%
Epoch 22/50 | Loss: 0.3333 | Train Acc: 87.50%
Epoch 23/50 | Loss: 0.3998 | Train Acc: 83.00%
Epoch 24/50 | Loss: 0.4123 | Train Acc: 80.50%
Epoch 25/50 | Loss: 0.3405 | Train Acc: 86.00%
Epoch 26/50 | Loss: 0.2614 | Train Acc: 90.50%
Epoch 27/50 | Loss: 0.2326 | Train Acc: 92.00%
Epoch 28/50 | Loss: 0.2391 | Train Acc: 92.50%
Epoch 29/50 | Loss: 0.2200 | Train Acc: 92.50%
Epoch 30/50 | Loss: 0.2713 | Train Acc: 90.00%
Epoch 31/50 | Loss: 0.2167 | Train Acc: 91.50%
Epoch 32/50 | Loss: 0.2808 | Train Acc: 90.00%
Epoch 33/50 | Loss: 0.1983 | Train Acc: 91.00%
Epoch 34/50 | Loss: 0.1797 | Train Acc: 93.50%
Epoch 35/50 | Loss: 0.1929 | Train Acc: 93.00%
Epoch 36/50 | Loss: 0.1714 | Train Acc: 93.00%
Epoch 37/50 | Loss: 0.2261 | Train Acc: 90.50%
Epoch 38/50 | Loss: 0.2079 | Train Acc: 93.50%
Epoch 39/50 | Loss: 0.2101 | Train Acc: 92.00%
Epoch 40/50 | Loss: 0.1242 | Train Acc: 94.50%
Epoch 41/50 | Loss: 0.1448 | Train Acc: 94.50%
Epoch 42/50 | Loss: 0.1284 | Train Acc: 95.00%
Epoch 43/50 | Loss: 0.0726 | Train Acc: 98.00%
Epoch 44/50 | Loss: 0.1061 | Train Acc: 95.50%
Epoch 45/50 | Loss: 0.0964 | Train Acc: 96.00%
Epoch 46/50 | Loss: 0.1115 | Train Acc: 97.00%
Epoch 47/50 | Loss: 0.0655 | Train Acc: 98.00%
Epoch 48/50 | Loss: 0.0771 | Train Acc: 97.00%
Epoch 49/50 | Loss: 0.0932 | Train Acc: 96.50%
Epoch 50/50 | Loss: 0.0517 | Train Acc: 98.00%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_learned_seed123.pt
