Using device: cuda
Epoch 1/50 | Loss: 0.8143 | Train Acc: 53.00%
Epoch 2/50 | Loss: 0.6964 | Train Acc: 51.50%
Epoch 3/50 | Loss: 0.6948 | Train Acc: 58.50%
Epoch 4/50 | Loss: 0.6898 | Train Acc: 52.50%
Epoch 5/50 | Loss: 0.7266 | Train Acc: 51.00%
Epoch 6/50 | Loss: 0.6720 | Train Acc: 59.00%
Epoch 7/50 | Loss: 0.6785 | Train Acc: 58.50%
Epoch 8/50 | Loss: 0.6642 | Train Acc: 58.00%
Epoch 9/50 | Loss: 0.6441 | Train Acc: 63.50%
Epoch 10/50 | Loss: 0.6237 | Train Acc: 65.50%
Epoch 11/50 | Loss: 0.5939 | Train Acc: 71.00%
Epoch 12/50 | Loss: 0.5237 | Train Acc: 73.50%
Epoch 13/50 | Loss: 0.4930 | Train Acc: 76.00%
Epoch 14/50 | Loss: 0.3829 | Train Acc: 84.50%
Epoch 15/50 | Loss: 0.3490 | Train Acc: 83.50%
Epoch 16/50 | Loss: 0.2916 | Train Acc: 89.50%
Epoch 17/50 | Loss: 0.3517 | Train Acc: 84.50%
Epoch 18/50 | Loss: 0.2249 | Train Acc: 92.00%
Epoch 19/50 | Loss: 0.2226 | Train Acc: 90.50%
Epoch 20/50 | Loss: 0.2008 | Train Acc: 92.50%
Epoch 21/50 | Loss: 0.1900 | Train Acc: 94.00%
Epoch 22/50 | Loss: 0.1044 | Train Acc: 95.50%
Epoch 23/50 | Loss: 0.1896 | Train Acc: 94.50%
Epoch 24/50 | Loss: 0.1474 | Train Acc: 95.00%
Epoch 25/50 | Loss: 0.1124 | Train Acc: 97.50%
Epoch 26/50 | Loss: 0.1002 | Train Acc: 95.50%
Epoch 27/50 | Loss: 0.1136 | Train Acc: 97.00%
Epoch 28/50 | Loss: 0.1041 | Train Acc: 96.50%
Epoch 29/50 | Loss: 0.1048 | Train Acc: 96.00%
Epoch 30/50 | Loss: 0.1107 | Train Acc: 95.00%
Epoch 31/50 | Loss: 0.0894 | Train Acc: 97.00%
Epoch 32/50 | Loss: 0.1284 | Train Acc: 96.50%
Epoch 33/50 | Loss: 0.1163 | Train Acc: 97.00%
Epoch 34/50 | Loss: 0.0430 | Train Acc: 98.50%
Epoch 35/50 | Loss: 0.0249 | Train Acc: 99.50%
Epoch 36/50 | Loss: 0.0166 | Train Acc: 99.50%
Epoch 37/50 | Loss: 0.0054 | Train Acc: 100.00%
Epoch 38/50 | Loss: 0.0028 | Train Acc: 100.00%
Epoch 39/50 | Loss: 0.0022 | Train Acc: 100.00%
Epoch 40/50 | Loss: 0.0014 | Train Acc: 100.00%
Epoch 41/50 | Loss: 0.0435 | Train Acc: 98.50%
Epoch 42/50 | Loss: 0.0507 | Train Acc: 97.50%
Epoch 43/50 | Loss: 0.0264 | Train Acc: 99.50%
Epoch 44/50 | Loss: 0.0049 | Train Acc: 100.00%
Epoch 45/50 | Loss: 0.0046 | Train Acc: 100.00%
Epoch 46/50 | Loss: 0.0032 | Train Acc: 100.00%
Epoch 47/50 | Loss: 0.0016 | Train Acc: 100.00%
Epoch 48/50 | Loss: 0.0010 | Train Acc: 100.00%
Epoch 49/50 | Loss: 0.0009 | Train Acc: 100.00%
Epoch 50/50 | Loss: 0.0009 | Train Acc: 100.00%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_sinusoidal_seed2024.pt
